Dreaming of Babylon: A Private Eye Novel 1942::Brautigan, Richard::literature::english::usa
The Hawkline Monster: A Gothic Western::Brautigan, Richard::literature::english::usa
A Confederate General from Big Sur::Brautigan, Richard::literature::english::usa
Bright Lights, Big City::McInerney, Jay::literature::english::usa
Total Eclipse::Brunner, John::sci fi::english::england
The Brothers Karamazov::Dostoyevsky, Fyodor::literature::russian::russia
The Death of Ivan Ilyich and Other Stories::Tolstoy, Leo::literature::russian::russia
Walden; or, Life in the Woods::Thoreau, Henry David::philosophy::english::usa
Cathedral::Carver, Raymond::literature::english::usa
Invisible Cities::Calvino, Italo::literature::italian::italy
The Lime Twig::Hawkes, John::literature::english::usa
Moby-Dick; or, The Whale::Melville, Herman::literature::english::usa
Hatchet (Brian's Saga, #1)::Paulsen, Gary::young adult::english::usa
Nightwood::Barnes, Djuna::literature::english::usa
Absalom, Absalom!::Faulkner, William::literature::english::usa
The Tragedy of Mariam::Cary, Elizabeth::plays::English::England
The Circuit::Jiménez, Francisco::young adult::english::usa
Billy Budd and Other Stories::Melville, Herman::literature::english::usa
The Red Badge of Courage::Crane, Stephen::literature::english::usa
City of Quartz::Davis, Mike::history::english::usa
Ender's Game::Card, Orson Scott::sci fi::english::usa
Holes::Sachar, Louis::young adult::english::usa
Harry Potter and the Prisoner of Azkaban::Rowling, J.K.::young adult::english::usa
Harry Potter and the Chamber of Secrets::Rowling, J.K.::young adult::english::usa
Harry Potter and the Sorcerer's Stone::Rowling, J.K.::young adult::english::usa
Adventures of Huckleberry Finn::Twain, Mark::literature::english::usa
The Sound and the Fury::Faulkner, William::literature::english::usa
Monster::Myers, Walter Dean::young adult::english::usa
To Kill a Mockingbird::Lee, Harper::literature::english::usa
As I Lay Dying::Faulkner, William::literature::english::usa
The Death of Ivan Ilych::Tolstoy, Leo::literature::russian::russia
The House of Mirth::Wharton, Edith::literature::english::usa
Sister Carrie::Dreiser, Theodore::literature::english::usa
The White Album::Didion, Joan::essays::english::usa
Bring the Jubilee::Moore, Ward::sci fi::english::usa
The Perks of Being a Wallflower::Chbosky, Stephen::young adult::english::usa
Romeo and Juliet::Shakespeare, William::plays::english::england
The Penultimate Truth::Dick, Philip K.::sci fi::english::usa
The Chrysalids::Wyndham, John::sci fi::english::england
Making Sense of the Troubles::McKittrick, David::history::english
A Place in Space::Snyder, Gary::essays::english::usa
Diary of a Mosquito Abatement Man::Porcellino, John::graphic novel::english::usa
The Big Empty::Mailer, Norman::essays::english::usa
Grand Inquisitor::Dostoyevsky, Fyodor::literature::russian::russia
Despite Everything: A Cometbus Omnibus::Cometbus, Aaron::literature::english::usa
Double Duce::Cometbus, Aaron::literature::english::usa
Alabama Wildman::Moore, Thurston::poetry::english::usa
No Country for Old Men::McCarthy, Cormac::literature::english::usa
Do Androids Dream of Electric Sheep?::Dick, Philip K.::sci fi::english::usa
Pulp::Bukowski, Charles::literature::english::usa
Jack London: A Life::Kershaw, Alex::biography::english::usa
The Nasty Bits::Bourdain, Anthony::essays::english::usa
Galápagos::Vonnegut, Kurt::literature::english::usa
Malcolm::Perry, Bruce::biography::english::usa
Hammer of the Gods::Davis, Stephen::music::english
Stairway to Heaven: Led Zeppelin Uncensored::Cole, Richard::music::english
The Ugly American::Lederer, William J.::literature::english::usa
Bad Blood: A Family Murder in Marin County::Levine, Richard M.::true crime::english::usa
The Populist Moment::Goodwyn, Lawrence::history::english::usa
Buddy Does Jersey, 1994-1998::Bagge, Peter::graphic novel::english::usa
Buddy Does Seattle, 1990-1994::Bagge, Peter::graphic novel::english::usa
Stupid White Men::Moore, Michael::politics::english::usa
Downsize This!::Moore, Michael::politics::english::usa
Hickory Wind::Fong-Torres, Ben::music::english::usa
The Worms of Kukumlima::Pinkwater, Daniel::young adult::english::usa
The Snarkout Boys and the Avocado of Death::Pinkwater, Daniel::young adult::english::usa
The Snarkout Boys and the Baconburg Horror::Pinkwater, Daniel::young adult::english::usa
Lizard Music::Pinkwater, Daniel::young adult::english::usa
The Handmaid's Tale::Atwood, Margaret::literature::english::canada
The Castle of Otranto::Walpole, Horace::literature::english::england
The Day of the Locust::West, Nathanael::literature::english::usa
A Brief History of Time::Hawking, Stephen::science::english::england
The Homecoming::Pinter, Harold::plays::english::england
The Cannibal::Hawkes, John::literature::english::usa
Blood Meridian::McCarthy, Cormac::literature::english::usa
Jane Eyre::Brontë, Charlotte::literature::english::england
Summertime::Coetzee, J.M.::literature::english::south africa
Cane::Toomer, Jean::literature::english::usa
Disgrace::Coetzee, J.M.::literature::english::south africa
Look Back in Anger::Osborne, John::plays::english::england
Hard Times::Dickens, Charles::literature::english::england
The Road::McCarthy, Cormac::literature::english::usa
Cold Mountain::Frazier, Charles::literature::english::usa
Macbeth::Shakespeare, William::plays::english::england
Jackson Pollock: A Biography::Solomon, Deborah::biography::english::usa
The Pearl::Steinbeck, John::literature::english::usa
Introducing Heidegger::Collins, Jeff::philosophy
How to Travel with a Salmon::Eco, Umberto::essays::italian::italy
Voices of the Self::Gilyard, Keith::composition::english::usa
The Eyre Affair (Thursday Next, #1)::Fforde, Jasper::sci fi::english::england
Nature and Walking::Emerson, Ralph Waldo::philosophy::english::usa
Emma::Austen, Jane::literature::english::england
Self-Reliance and Other Essays::Emerson, Ralph Waldo::philosophy::english::usa
Incidents in the Life of a Slave Girl::Jacobs, Harriet::history::english::usa
A Modest Proposal::Swift, Jonathan::literature::english::england
In the Heart of the Country::Coetzee, J.M.::literature::english::south africa
The Soft Machine::Burroughs, William S.::literature::english::usa
Ecotopia::Callenbach, Ernest::sci fi::english::usa
Wide Sargasso Sea::Rhys, Jean::literature::english::england
Wieland::Brown, Charles Brockden::literature::english::usa
What We Talk About When We Talk About Love::Carver, Raymond::literature::english::usa
If on a Winter's Night a Traveler::Calvino, Italo::literature::italian::italy
The Metamorphosis::Kafka, Franz::literature::german::czechoslovakia
The Metamorphosis, the Penal Colony, and Other Stories::Kafka, Franz::literature::german::czechoslovakia
Timequake::Vonnegut, Kurt::literature::english::usa
Ubik::Dick, Philip K.::sci fi::english::usa
From the Mixed-Up Files of Mrs. Basil E. Frankweiler::Konigsburg, E.L.::young adult::english::usa
We::Zamyatin, Yevgeny::literature::russian::ussr
Fathers and Sons::Turgenev, Ivan::literature::russian::russia
Notes From Underground::Dostoyevsky, Fyodor::literature::russian::russia
A Raisin in the Sun::Hansberry, Lorraine::plays::english::usa
A Teaching Subject: Composition Since 1966::Harris, Joseph::composition::english::usa
Native Son::Wright, Richard::literature::english::usa
Miss Lonelyhearts & The Day of the Locust::West, Nathanael::literature::english::usa
Who's Afraid of Virginia Woolf?::Albee, Edward::plays::english::usa
Death of a Salesman::Miller, Arthur::plays::english::usa
A Streetcar Named Desire::Williams, Tennessee::plays::english::usa
The Country of the Pointed Firs and Other Stories::Jewett, Sarah Orne::literature::english::usa
The Awakening::Chopin, Kate::literature::english::usa
Cloud Nine::Churchill, Caryl::plays::english::england
Waiting for Godot::Beckett, Samuel::plays::english::ireland
The Importance of Being Earnest::Wilde, Oscar::plays::english::england
Pamela. Or, Virtue Rewarded::Richardson, Samuel::literature::english::england
Gulliver's Travels::Swift, Jonathan::literature::english::england
Doctor Faustus::Marlowe, Christopher::plays::english::england
The Playboy of the Western World & Riders to the Sea::Synge, J.M.::plays::english::ireland
Wuthering Heights::Brontë, Emily::literature::english::england
Mrs. Dalloway::Woolf, Virginia::literature::english::england
Gravity's Rainbow::Pynchon, Thomas::literature::english::usa
A Portrait of the Artist as a Young Man::Joyce, James::literature::english::ireland
Dubliners::Joyce, James::literature::english::ireland
The Unbearable Lightness of Being::Kundera, Milan::literature::czech::czechoslovakia
The Sorrows of Young Werther::Goethe, Johann Wolfgang von::literature::german::germany
Wild at Heart::Gifford, Barry::literature::english::usa
I and My Chimney::Melville, Herman::literature::english::usa
Howard Hughes: The Untold Story::Brown, Peter Harry::history::english::usa
The Barbary Coast::Asbury, Herbert::history::english::usa
The Samurai's Garden::Tsukiyama, Gail::literature::english::usa
The Social Construction of Reality::Berger, Peter L.::philosophy::english::usa
Kangaroo Notebook::Abe, Kōbō::literature::japanese::japan
Stalin's Spy::Whymant, Robert::history
The Cherry Orchard::Chekhov, Anton::plays::russian::russia
Touching from a Distance: Ian Curtis and Joy Division::Curtis, Deborah::music::english::england
Introducing Fascism and Nazism::Hood, Stuart::politics
Heartbreak House::Shaw, George Bernard::plays::english::england
Pale Fire::Nabokov, Vladimir::literature::english::usa
The Postmodern Condition::Lyotard, Jean-François::philosophy::french::france
The Public Burning::Coover, Robert::literature::english::usa
Planet of the Apes::Boulle, Pierre::sci fi:: french::france
Waiting for the Barbarians::Coetzee, J.M.::literature::english::south africa
When You Are Engulfed in Flames::Sedaris, David::essays::english::usa
Dress Your Family in Corduroy and Denim::Sedaris, David::essays::english::usa
Me Talk Pretty One Day::Sedaris, David::essays::english::usa
The Piano Tuner::Mason, Daniel::literature::english::usa
Bel Canto::Patchett, Ann::literature::english::usa
Mountains Beyond Mountains::Kidder, Tracy::history::english::usa
Acid Dreams::Lee, Martin A.::history::english::usa
Eating the Dinosaur::Klosterman, Chuck::essays::english::usa
Chuck Klosterman IV::Klosterman, Chuck::essays::english::usa
American Studies in a Moment of Danger::Lipsitz, George
Inherent Vice::Pynchon, Thomas::literature::english::usa
Sartor Resartus::Carlyle, Thomas::literature::english::england
Ficciones::Borges, Jorge Luis::literature::spanish::argentina
Consider the Lobster and Other Essays::Wallace, David Foster::essays::english::usa
American Hardcore: A Tribal History::Blush, Steven::music::english::usa
Confusion Is Next: The Sonic Youth Story::Foege, Alec::music::english::usa
Our Band Could Be Your Life::Azerrad, Michael::music::english::usa
The Giver::Lowry, Lois::young adult::english::usa
The Crucible::Miller, Arthur::plays::english::usa
Speak::Anderson, Laurie Halse::young adult::english::usa
